cve	rating	date	file
CVE-2024-0001	hot	2025-01-04	2024\2024-predictions.txt
CVE-2024-0001	hot	2025-01-07	2024\predictions-jan-7-run.txt
CVE-2024-0001	hot	2025-01-17	2024\2024-predictions-jan-17-run.txt
CVE-2024-0001	hot	2026-02-08	2024\2024-output-may-24.txt
CVE-2024-0002	hot	2025-01-04	2024\2024-predictions.txt
CVE-2024-0002	hot	2025-01-07	2024\predictions-jan-7-run.txt
CVE-2024-0002	hot	2025-01-17	2024\2024-predictions-jan-17-run.txt
CVE-2024-0002	hot	2026-02-08	2024\2024-output-may-24.txt
CVE-2024-0003	hot	2025-01-04	2024\2024-predictions.txt
CVE-2024-0003	hot	2025-01-07	2024\predictions-jan-7-run.txt
CVE-2024-0003	hot	2025-01-17	2024\2024-predictions-jan-17-run.txt
CVE-2024-0003	hot	2026-02-08	2024\2024-output-may-24.txt
CVE-2024-0004	hot	2025-01-04	2024\2024-predictions.txt
CVE-2024-0004	hot	2025-01-07	2024\predictions-jan-7-run.txt
CVE-2024-0004	hot	2025-01-17	2024\2024-predictions-jan-17-run.txt
CVE-2024-0004	hot	2026-02-08	2024\2024-output-may-24.txt
